oblast,week_ending,total_damaged_buildings
Lvivska,2024-06-23,1
Poltavska,2024-06-23,3
Vinnytska,2024-06-23,1
Zaporizka,2024-06-23,2
Chernihivska,2024-06-16,1
Dnipropetrovska,2024-06-16,22
Donetska,2024-06-16,8
Kharkivska,2024-06-16,6
Khersonska,2024-06-16,13
Mykolaivska,2024-06-16,1
Sumska,2024-06-16,4
Dnipropetrovska,2024-06-09,24
Donetska,2024-06-09,11
Kharkivska,2024-06-09,5
Khersonska,2024-06-09,32
Kyivska,2024-06-09,1
Sumska,2024-06-09,2
Dnipropetrovska,2024-06-02,16
Donetska,2024-06-02,22
Ivano-Frankivska,2024-06-02,1
Kharkivska,2024-06-02,15
Khersonska,2024-06-02,25
Khmelnytska,2024-06-02,1
Kirovohradska,2024-06-02,1
Kyiv,2024-06-02,4
Mykolaivska,2024-06-02,4
Odeska,2024-06-02,1
Rivnenska,2024-06-02,1
Sumska,2024-06-02,4
Zaporizka,2024-06-02,1
Chernihivska,2024-05-26,1
Dnipropetrovska,2024-05-26,12
Donetska,2024-05-26,12
Kharkivska,2024-05-26,22
Khersonska,2024-05-26,16
Sumska,2024-05-26,7
Zaporizka,2024-05-26,2
Chernihivska,2024-05-19,3
Dnipropetrovska,2024-05-19,19
Donetska,2024-05-19,6
Kharkivska,2024-05-19,18
Khersonska,2024-05-19,5
Odeska,2024-05-19,1
Poltavska,2024-05-19,1
Sevastopol,2024-05-19,1
Dnipropetrovska,2024-05-12,30
Donetska,2024-05-12,2
Ivano-Frankivska,2024-05-12,1
Kharkivska,2024-05-12,45
Khersonska,2024-05-12,9
Kirovohradska,2024-05-12,1
Kyivska,2024-05-12,4
Luhanska,2024-05-12,1
Lvivska,2024-05-12,1
Mykolaivska,2024-05-12,1
Poltavska,2024-05-12,1
Sumska,2024-05-12,6
Vinnytska,2024-05-12,1
Zaporizka,2024-05-12,9
Chernihivska,2024-05-05,1
Dnipropetrovska,2024-05-05,24
Donetska,2024-05-05,16
Kharkivska,2024-05-05,19
Khersonska,2024-05-05,10
Mykolaivska,2024-05-05,1
Odeska,2024-05-05,3
Poltavska,2024-05-05,1
Sumska,2024-05-05,3
Chernihivska,2024-04-28,1
Dnipropetrovska,2024-04-28,11
Donetska,2024-04-28,2
Kharkivska,2024-04-28,11
Khersonska,2024-04-28,11
Mykolaivska,2024-04-28,4
Odeska,2024-04-28,1
Sumska,2024-04-28,2
Chernihivska,2024-04-21,1
Dnipropetrovska,2024-04-21,10
Donetska,2024-04-21,4
Kharkivska,2024-04-21,1
Khersonska,2024-04-21,14
Odeska,2024-04-21,1
Sumska,2024-04-21,3
Zaporizka,2024-04-21,1
Dnipropetrovska,2024-04-14,9
Donetska,2024-04-14,17
Kharkivska,2024-04-14,2
Khersonska,2024-04-14,6
Kyivska,2024-04-14,1
Lvivska,2024-04-14,2
Mykolaivska,2024-04-14,2
Odeska,2024-04-14,6
Sumska,2024-04-14,6
Zaporizka,2024-04-14,1
Dnipropetrovska,2024-04-07,14
Donetska,2024-04-07,22
Kharkivska,2024-04-07,24
Khersonska,2024-04-07,11
Mykolaivska,2024-04-07,2
Sumska,2024-04-07,13
Zaporizka,2024-04-07,3
Cherkaska,2024-03-31,1
Dnipropetrovska,2024-03-31,11
Donetska,2024-03-31,6
Kharkivska,2024-03-31,7
Khersonska,2024-03-31,7
Kirovohradska,2024-03-31,1
Kyiv,2024-03-31,1
Mykolaivska,2024-03-31,1
Odeska,2024-03-31,1
Sumska,2024-03-31,2
Chernihivska,2024-03-24,1
Dnipropetrovska,2024-03-24,26
Donetska,2024-03-24,10
Ivano-Frankivska,2024-03-24,1
Kharkivska,2024-03-24,19
Khersonska,2024-03-24,9
Kyiv,2024-03-24,4
Lvivska,2024-03-24,2
Mykolaivska,2024-03-24,1
Odeska,2024-03-24,5
Sumska,2024-03-24,2
Zaporizka,2024-03-24,3
Cherkaska,2024-03-17,1
Chernihivska,2024-03-17,5
Dnipropetrovska,2024-03-17,28
Donetska,2024-03-17,24
Kharkivska,2024-03-17,15
Khersonska,2024-03-17,12
Luhanska,2024-03-17,1
Mykolaivska,2024-03-17,4
Odeska,2024-03-17,6
Sumska,2024-03-17,8
Zaporizka,2024-03-17,1
Chernihivska,2024-03-10,1
Dnipropetrovska,2024-03-10,13
Donetska,2024-03-10,46
Kharkivska,2024-03-10,24
Khersonska,2024-03-10,31
Khmelnytska,2024-03-10,1
Mykolaivska,2024-03-10,1
Odeska,2024-03-10,3
Sumska,2024-03-10,13
Autonomous Republic of Crimea,2024-03-03,2
Chernihivska,2024-03-03,3
Dnipropetrovska,2024-03-03,19
Donetska,2024-03-03,36
Kharkivska,2024-03-03,16
Khersonska,2024-03-03,14
Mykolaivska,2024-03-03,1
Odeska,2024-03-03,1
Sumska,2024-03-03,3
Dnipropetrovska,2024-02-25,17
Donetska,2024-02-25,81
Kharkivska,2024-02-25,17
Khersonska,2024-02-25,23
Kirovohradska,2024-02-25,1
Mykolaivska,2024-02-25,1
Odeska,2024-02-25,1
Zaporizka,2024-02-25,5
Dnipropetrovska,2024-02-18,13
Donetska,2024-02-18,21
Kharkivska,2024-02-18,17
Khersonska,2024-02-18,6
Lvivska,2024-02-18,4
Mykolaivska,2024-02-18,1
Poltavska,2024-02-18,1
Sumska,2024-02-18,2
Zaporizka,2024-02-18,4
Chernihivska,2024-02-11,4
Dnipropetrovska,2024-02-11,12
Donetska,2024-02-11,19
Kharkivska,2024-02-11,29
Khersonska,2024-02-11,5
Kyivska,2024-02-11,4
Mykolaivska,2024-02-11,7
Odeska,2024-02-11,6
Sumska,2024-02-11,4
Dnipropetrovska,2024-02-04,25
Donetska,2024-02-04,30
Kharkivska,2024-02-04,18
Khersonska,2024-02-04,18
Kyivska,2024-02-04,1
Mykolaivska,2024-02-04,7
Sumska,2024-02-04,10
Dnipropetrovska,2024-01-28,29
Donetska,2024-01-28,46
Kharkivska,2024-01-28,23
Khersonska,2024-01-28,14
Mykolaivska,2024-01-28,1
Odeska,2024-01-28,1
Poltavska,2024-01-28,1
Sumska,2024-01-28,3
Dnipropetrovska,2024-01-21,12
Donetska,2024-01-21,32
Kharkivska,2024-01-21,8
Khersonska,2024-01-21,14
Odeska,2024-01-21,1
Sumska,2024-01-21,1
Chernihivska,2024-01-14,1
Dnipropetrovska,2024-01-14,16
Donetska,2024-01-14,15
Kharkivska,2024-01-14,21
Khersonska,2024-01-14,9
Mykolaivska,2024-01-14,1
Sumska,2024-01-14,9
Cherkaska,2024-01-07,1
Dnipropetrovska,2024-01-07,38
Donetska,2024-01-07,28
Kharkivska,2024-01-07,14
Khersonska,2024-01-07,17
Kirovohradska,2024-01-07,2
Kyiv,2024-01-07,3
Kyivska,2024-01-07,2
Lvivska,2024-01-07,2
Mykolaivska,2024-01-07,5
Sumska,2024-01-07,5
Cherkaska,2023-12-31,1
Chernihivska,2023-12-31,3
Dnipropetrovska,2023-12-31,46
Donetska,2023-12-31,32
Kharkivska,2023-12-31,19
Khersonska,2023-12-31,14
Khmelnytska,2023-12-31,4
Kyiv,2023-12-31,4
Kyivska,2023-12-31,3
Lvivska,2023-12-31,6
Mykolaivska,2023-12-31,2
Odeska,2023-12-31,3
Sumska,2023-12-31,6
Zaporizka,2023-12-31,1
Dnipropetrovska,2023-12-24,14
Donetska,2023-12-24,19
Kharkivska,2023-12-24,6
Khersonska,2023-12-24,18
Kyivska,2023-12-24,1
Mykolaivska,2023-12-24,1
Odeska,2023-12-24,1
Poltavska,2023-12-24,1
Sumska,2023-12-24,2
Zaporizka,2023-12-24,2
Dnipropetrovska,2023-12-17,5
Donetska,2023-12-17,5
Kharkivska,2023-12-17,3
Khersonska,2023-12-17,16
Kyiv,2023-12-17,6
Mykolaivska,2023-12-17,7
Odeska,2023-12-17,6
Sumska,2023-12-17,2
Chernihivska,2023-12-10,1
Dnipropetrovska,2023-12-10,13
Donetska,2023-12-10,31
Kharkivska,2023-12-10,13
Khersonska,2023-12-10,17
Mykolaivska,2023-12-10,4
Odeska,2023-12-10,3
Sumska,2023-12-10,7
Zaporizka,2023-12-10,1
Chernihivska,2023-12-03,1
Dnipropetrovska,2023-12-03,25
Donetska,2023-12-03,28
Kharkivska,2023-12-03,6
Khersonska,2023-12-03,19
Khmelnytska,2023-12-03,2
Mykolaivska,2023-12-03,1
Sumska,2023-12-03,4
Zaporizka,2023-12-03,1
Chernihivska,2023-11-26,1
Dnipropetrovska,2023-11-26,8
Donetska,2023-11-26,14
Kharkivska,2023-11-26,2
Khersonska,2023-11-26,10
Odeska,2023-11-26,2
Zaporizka,2023-11-26,1
Dnipropetrovska,2023-11-19,10
Donetska,2023-11-19,16
Kharkivska,2023-11-19,4
Khersonska,2023-11-19,19
Khmelnytska,2023-11-19,1
Mykolaivska,2023-11-19,1
Odeska,2023-11-19,1
Sumska,2023-11-19,2
Chernihivska,2023-11-12,3
Dnipropetrovska,2023-11-12,10
