damage_id,iso3,country,gid_1,oblast,rayon,type_of_infrastructure,if_other_what,date_of_event,source_name,source_date,source_link,additional_sources,extent_of_damage,_internal_filter_date,_weights,access_subindicator,pcode
D19684,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Government facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19685,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Government facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19686,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19687,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19688,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19689,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19690,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19691,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19692,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
D19693,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Industrial/Business/Enterprise facilities,,2025-02-09,Hromadske radio,2025-02-10,https://hromadske.radio/news/2025/02/10/okupanty-vnochi-skynuly-na-kramatorsk-pivtonnu-kerovanu-aviabombu-1-liudyna-zahynula,https://suspilne.media/donbas/945115-vze-drugij-raz-prilit-aviaudar-rosijskih-vijsk-pivtonnou-bombou-po-kramatorsku-naslidki/,Partially damaged,2025-02-09,0.7,['7.2'],UA14
